LoanApproved,Age,EducationLevel,Income
0,37,2,112082
0,25,0,138122
0,20,3,120304
0,55,3,117455
0,61,2,110218
0,26,2,99429
0,61,4,69091
0,72,2,42952
0,52,4,25025
0,76,0,90207
0,69,1,50444
0,43,2,24752
0,35,1,41113
0,58,0,80081
0,31,2,88073
0,51,1,101794
0,33,2,97778
0,44,4,100318
0,36,3,74826
0,69,0,34130
0,29,2,92848
0,79,3,38941
0,77,1,145496
0,36,2,54406
0,29,1,28767
0,76,0,59173
0,70,1,24615
0,61,4,131942
0,43,1,137913
0,21,1,48330
0,26,3,148225
0,27,2,104540
0,52,2,66059
0,51,1,42757
0,43,1,81480
0,33,3,117026
0,66,1,107334
0,64,3,106039
0,76,2,109775
0,58,4,86355
0,36,2,58147
0,45,3,62208
0,40,4,101652
0,79,3,90095
0,77,4,36588
0,73,3,125313
0,23,0,137154
0,42,4,36300
0,66,2,142075
0,46,0,90053
0,33,0,77930
0,50,1,103980
0,20,1,37002
0,52,0,148350
0,31,2,122001
0,71,1,98988
0,76,2,39986
0,25,2,126322
0,26,3,58917
0,55,3,36137
0,37,0,131074
0,34,3,86909
0,61,1,44809
0,38,2,146825
0,57,3,20599
0,76,1,20417
0,72,1,55311
0,68,2,69342
0,73,2,118952
0,67,4,43895
0,65,3,25088
0,55,1,146846
0,73,2,95625
0,27,0,57497
0,70,3,62776
0,19,1,79943
0,36,1,29299
0,18,0,85212
0,54,0,40299
0,35,2,148700
0,55,2,24481
0,41,2,100170
0,75,1,91826
0,63,3,149026
0,59,3,22171
0,26,3,34942
0,77,2,111305
0,53,2,108896
0,34,2,29781
0,73,3,129307
0,26,3,143688
0,63,4,128354
0,21,0,74129
0,56,2,116060
0,23,0,46611
0,66,3,62787
0,25,2,144635
0,34,4,80029
0,69,3,46002
0,38,1,26010
0,40,2,86111
0,40,2,147036
0,60,1,125633
0,45,4,145198
0,35,2,50634
0,28,4,64962
0,73,1,143723
0,30,1,55368
0,18,4,112573
0,59,4,95497
0,74,0,138380
0,80,4,112321
0,76,0,25727
0,41,2,73475
0,58,2,72887
0,60,2,80199
0,53,4,61692
0,57,4,57180
0,72,2,40404
0,42,0,131292
0,19,2,23494
0,46,0,131706
0,79,0,106735
0,78,2,139077
0,42,0,47040
0,63,3,51456
0,23,3,52660
0,42,1,70888
0,74,0,80146
0,44,3,104668
0,59,3,47943
0,66,2,98362
0,23,3,94374
0,56,2,51990
0,31,0,34116
0,64,4,109019
0,69,2,148966
0,74,2,79133
0,18,4,53856
0,69,4,139524
0,27,2,140743
0,67,4,42775
0,52,4,20552
0,28,0,52232
0,40,2,125592
0,49,3,122287
0,23,0,141252
0,77,2,44310
0,78,1,100760
0,21,0,41059
0,63,4,136357
0,80,2,66081
0,41,2,100761
0,37,3,108306
0,29,3,36579
0,78,2,70903
0,73,0,35412
0,34,3,108142
0,68,3,62598
0,44,1,110320
0,56,4,29315
0,76,4,124413
0,42,0,90050
0,57,2,96092
0,47,0,146426
0,19,3,71811
0,68,3,98248
0,71,0,34972
0,42,0,141486
0,47,3,97231
0,35,1,35734
0,80,3,63240
0,27,2,146847
0,64,3,50840
0,70,1,136252
0,49,0,55735
0,38,2,31671
0,27,1,57716
0,78,1,85647
0,18,1,136927
0,74,3,98799
0,80,0,88722
0,23,4,24914
0,62,1,51875
0,61,3,98626
0,78,0,143319
0,65,2,57436
0,30,2,39545
0,74,2,97885
0,70,4,111481
0,56,0,81747
0,59,0,64863
0,49,4,142445
0,38,3,27499
0,49,1,77511
0,20,3,32348
0,60,1,147937
0,80,2,24364
0,79,3,23867
0,58,1,98697
0,65,2,105164
0,66,4,95793
0,59,1,74663
0,21,4,56464
0,49,3,73000
0,46,1,125833
0,37,2,123048
0,55,1,77961
0,80,4,111761
0,76,2,49650
0,50,3,70897
0,23,3,94765
0,29,4,38636
0,33,4,126777
0,51,4,56414
0,49,0,131258
0,50,4,30152
0,56,1,121541
0,35,1,149124
0,74,2,134124
0,31,4,139331
0,19,1,128243
0,32,3,58904
0,78,0,89891
0,37,3,21097
0,73,2,36390
0,27,1,99429
0,59,1,96074
0,80,0,127603
0,25,1,33779
0,47,0,68096
0,32,4,137368
0,75,1,134497
0,37,2,57607
0,21,3,53776
0,77,1,67792
0,33,1,87237
0,76,4,97605
0,32,1,106751
0,78,4,130417
0,38,3,113255
0,54,1,99567
0,21,4,72592
0,72,1,24971
0,45,4,48372
0,75,0,100394
0,50,0,90364
0,80,4,132460
0,77,3,51462
0,66,2,139882
0,22,4,23364
0,64,3,47676
0,25,3,124457
0,70,0,102124
0,71,2,87613
0,78,4,137354
0,25,0,71208
0,39,1,90347
0,43,2,137411
0,41,4,53315
0,35,4,123142
0,75,3,114252
0,47,2,54948
0,44,2,98775
0,31,0,104208
0,43,3,27223
0,21,4,40541
0,65,2,128243
0,70,0,79682
0,28,3,142620
0,72,2,143016
0,25,0,72904
0,46,0,136234
0,62,1,94296
0,60,3,136544
0,71,1,112845
0,47,0,91813
0,45,1,37330
0,55,0,61088
0,69,1,145475
0,18,0,109097
0,25,0,91147
0,41,2,115989
0,46,3,141694
0,31,1,100696
0,21,1,66195
0,42,1,27652
0,53,2,128203
0,23,3,127660
0,70,4,122397
0,63,4,101455
0,53,3,41521
0,48,3,140971
0,74,3,43468
0,69,2,89740
0,21,3,107233
0,22,1,60411
0,40,2,47371
0,68,0,47527
0,36,0,29707
0,78,0,65980
0,30,2,146395
0,18,0,119977
0,58,4,96536
0,52,0,97351
0,33,0,39701
0,38,1,76136
0,78,1,24374
0,37,2,85863
0,69,1,109661
0,55,0,97808
0,33,3,55886
0,31,2,131666
0,50,2,71317
0,51,4,92053
0,53,3,57868
0,74,1,142245
0,19,0,126849
0,44,2,83717
0,43,0,90177
0,28,0,130869
0,22,3,143827
0,34,2,68036
0,50,3,74870
0,62,3,68867
0,49,4,142388
0,73,0,136411
0,73,1,76460
0,31,3,129995
0,70,4,97812
0,23,4,40579
0,69,1,95057
0,40,1,29001
0,33,4,20199
0,66,4,70186
0,24,1,120163
0,79,3,100881
0,42,3,103700
0,19,3,91718
0,59,1,30870
0,55,3,121950
0,25,2,139396
0,80,4,48437
0,32,4,100866
0,69,3,60633
0,73,3,89231
0,76,2,123823
0,59,0,122517
0,79,0,95163
0,44,1,133820
0,56,3,143362
0,28,2,61819
0,25,2,63272
0,30,0,74097
0,76,0,132521
0,58,1,72507
0,23,1,75911
0,18,0,113045
0,71,2,58486
0,62,2,101514
0,47,4,48989
0,34,2,109319
0,31,2,115062
0,19,0,144778
0,38,1,133948
0,29,2,114159
0,53,3,26227
0,75,2,47930
0,61,2,118751
0,38,0,83213
0,64,4,37864
0,28,0,97665
0,47,2,99360
0,41,1,32414
0,66,4,147833
0,59,0,76402
0,57,4,115416
0,40,1,110134
0,76,3,30953
0,25,1,143187
0,66,2,41119
0,19,4,68882
0,76,0,144670
0,32,3,116463
0,62,1,94114
0,74,4,68824
0,19,3,69862
0,80,0,116531
0,25,2,24316
0,19,3,44438
0,39,2,30614
0,77,0,82924
0,77,3,133479
0,68,1,110345
0,38,3,147188
0,55,3,125529
0,58,2,28160
0,25,0,108686
0,57,1,125134
0,52,4,77797
0,47,2,108090
0,21,4,26091
0,48,3,60613
0,27,2,77757
0,33,1,58229
0,52,0,53638
0,26,0,39979
0,32,0,123108
0,54,3,93583
0,24,0,113571
0,68,2,51812
0,60,0,113762
0,21,2,143768
0,78,0,118957
0,43,4,33284
0,27,2,101429
0,18,1,149266
0,66,3,116279
0,45,3,28894
0,20,1,27525
0,35,2,121729
0,76,0,136581
0,47,2,113781
0,60,3,133510
0,25,0,33597
0,53,2,148290
0,45,0,25494
0,42,0,44785
0,53,4,60214
0,60,4,83772
0,47,2,60177
0,63,4,98630
0,30,1,87389
0,59,1,103367
0,67,0,120968
0,78,4,96048
0,19,3,130818
0,39,0,26389
0,25,3,61771
0,32,3,49750
0,21,0,142582
0,37,2,93536
0,50,3,133278
0,72,3,100946
0,34,2,59236
0,53,3,22805
0,75,3,92169
0,80,0,94912
0,59,0,25123
0,26,3,35089
0,21,4,90424
0,37,0,106651
0,31,2,97456
0,71,0,149488
0,41,3,118779
0,50,1,135098
0,22,1,43846
0,26,2,141165
0,33,0,84694
0,33,1,49181
0,78,1,117027
0,19,3,87666
0,67,2,28914
0,47,4,51568
0,42,3,110677
0,71,2,90823
0,69,0,21651
0,20,3,27880
0,78,4,78821
0,77,3,45754
0,55,0,116907
0,19,3,81136
0,68,4,60712
0,62,0,72590
0,31,2,96718
0,69,4,64844
0,27,1,86165
0,75,1,74106
0,72,1,108022
0,42,0,143279
0,34,0,46678
0,79,4,136275
0,18,3,107053
0,74,3,143747
0,80,4,104979
0,44,3,38694
0,47,3,36445
0,62,0,64977
0,21,4,125583
0,66,3,108478
0,76,2,64831
0,50,4,95214
0,51,2,137123
0,39,3,136996
0,51,1,82345
0,49,4,26349
0,40,3,24597
0,67,0,97921
0,20,3,52072
0,67,4,90300
0,63,3,56421
0,72,1,135917
0,23,4,49857
0,80,3,138052
0,80,1,82203
0,26,2,38292
0,56,4,48838
0,33,0,94641
0,55,2,123791
0,28,3,65995
0,58,4,99974
0,70,1,93296
0,77,3,88548
0,39,0,118524
0,43,2,71402
0,75,3,32636
0,46,2,140795
0,56,4,97495
0,76,4,31216
0,71,2,26086
0,55,0,114928
0,80,0,46156
0,39,2,117834
0,26,3,39608
0,40,1,86658
0,37,4,149309
0,31,0,143444
0,26,1,76153
0,78,2,35687
0,42,3,103706
0,60,2,39355
0,18,4,82926
0,32,2,44825
0,26,4,130615
0,57,3,42739
0,60,4,58778
0,46,1,143562
0,70,0,127933
0,70,1,131100
0,75,0,81250
0,39,3,64460
0,42,3,136747
0,66,0,87174
0,24,0,47688
0,59,0,130970
0,35,3,28131
0,43,2,105879
0,77,1,135826
0,52,1,126076
0,53,1,147316
0,21,4,112460
0,50,0,89078
0,56,0,107168
0,31,3,93123
0,26,2,102928
0,46,2,69556
0,27,4,38385
0,58,0,123688
0,60,2,72820
0,48,4,125915
0,57,4,137795
0,39,3,136330
0,23,4,48848
0,23,2,89179
0,26,2,55808
0,71,1,86352
0,73,1,83156
0,35,4,107958
0,29,1,125515
0,68,3,107364
0,40,1,65681
0,75,0,144495
0,66,4,126453
0,53,0,21050
0,24,4,42169
0,43,3,128420
0,30,1,102683
0,19,1,50373
0,54,2,118774
0,33,3,140602
0,74,4,111804
0,26,1,70500
0,72,4,107982
0,53,0,69884
0,78,2,28706
0,71,0,83373
0,28,3,82728
0,57,1,65939
0,48,0,126123
0,46,0,56339
0,37,0,48171
0,53,3,83917
0,36,0,130670
0,43,1,65659
0,37,4,135109
0,71,4,93395
0,77,3,96031
0,19,0,104115
0,75,3,37135
0,26,0,131721
0,62,3,92091
0,23,1,42742
0,49,4,130784
0,48,2,40851
0,30,4,22041
0,30,2,132206
0,64,2,115530
0,59,0,97171
0,46,1,124591
0,38,1,70161
0,58,4,144417
0,64,3,60380
0,66,3,94075
0,76,4,69243
0,44,2,115919
0,38,0,128435
0,27,2,139795
0,49,1,86083
0,53,0,108914
0,79,4,99602
0,60,0,136018
0,54,1,62790
0,25,1,59697
0,75,2,116790
0,55,2,36525
0,64,4,75732
0,72,4,111219
0,63,1,143189
0,70,0,76943
0,51,3,97715
0,72,3,142217
0,53,3,37697
0,71,3,123682
0,54,1,107456
0,67,2,70316
0,36,1,96223
0,21,4,135679
0,48,2,33720
0,54,0,76399
0,34,1,73208
0,18,0,109670
0,66,0,102350
0,37,0,60876
0,28,0,37958
0,52,1,97507
0,51,0,137829
0,47,0,34456
0,50,1,135556
0,40,3,31537
0,24,4,109817
0,60,2,110578
0,78,2,44719
0,47,2,135743
0,74,2,49283
0,33,4,81220
0,43,0,109834
0,45,0,56892
0,77,1,41521
0,30,1,66602
0,63,2,141542
0,75,0,32163
0,50,3,58211
0,22,3,44097
0,37,0,54341
0,80,4,124644
0,41,0,76448
0,53,2,136807
0,33,2,136027
0,22,4,132796
0,25,3,132739
0,43,0,50397
0,60,3,33173
0,30,1,129333
0,72,2,55534
0,64,2,21622
0,50,2,22140
0,47,1,92050
0,78,1,139041
0,52,3,93178
0,42,0,94482
0,58,3,33687
0,47,4,108673
0,44,4,113801
0,44,4,108462
0,38,0,69980
0,76,4,82317
0,24,1,122074
0,60,3,129982
0,75,4,45415
0,74,2,77008
0,42,0,26340
0,54,2,128395
0,28,0,38965
0,18,1,95057
0,58,4,44657
0,27,1,91604
0,44,0,124385
0,69,2,88580
0,76,1,100713
0,71,2,123323
0,39,0,71177
0,52,4,68489
0,53,1,126595
0,80,0,96681
0,67,4,80965
0,20,1,103244
0,62,1,21702
0,47,4,85203
0,77,0,38970
0,63,4,117959
