LoanApproved,Age,EducationLevel,Income
1,44,1,146489
1,25,3,135233
1,70,2,77164
1,64,1,66390
0,28,0,146352
1,42,4,110270
0,70,2,28965
0,44,2,33218
0,28,3,41678
1,46,0,82505
0,30,2,32129
1,37,2,100565
1,58,2,102114
1,58,0,125703
1,38,4,28059
1,20,1,66018
1,73,1,49824
1,38,0,52134
0,67,0,67192
1,75,2,117453
1,43,0,126017
0,76,1,44861
0,44,4,123392
0,30,2,69949
1,33,2,64155
1,39,1,32787
1,18,1,145831
0,71,0,68871
0,25,1,69420
1,18,0,133166
0,52,1,58804
1,50,4,107261
0,71,1,77603
0,77,3,37517
0,37,2,96482
1,45,2,116851
1,75,3,57204
1,31,1,32823
1,68,0,127220
1,79,4,100833
1,55,3,133107
1,29,4,135988
1,56,1,111900
1,48,4,119077
0,76,3,73755
1,72,2,31216
0,40,1,45246
1,57,3,97343
0,39,1,54928
1,20,4,123872
0,59,0,22221
1,77,4,49156
1,52,1,76360
1,28,2,88913
0,57,2,139252
0,53,1,30182
1,43,3,64155
1,75,1,113440
0,79,0,141748
1,59,3,148001
0,74,3,127730
1,56,0,77376
1,50,3,138182
0,21,0,30005
1,78,1,66607
1,76,2,83236
1,78,2,115617
0,53,1,115947
1,26,0,120986
1,77,3,27268
1,60,2,28389
1,47,1,105564
1,32,2,105180
0,30,1,24697
0,51,3,22434
0,66,1,117871
0,48,3,92350
0,70,4,24405
1,40,1,37758
0,77,0,20649
1,65,0,139976
1,29,3,101409
0,26,0,67095
1,48,1,86948
0,67,4,93283
1,48,4,126055
0,25,4,43040
1,64,2,20695
0,77,0,45994
1,65,3,71535
1,61,3,84078
1,35,0,107737
1,47,4,89539
1,30,0,119048
0,74,2,145916
1,50,0,57529
0,71,2,42236
0,52,1,41959
1,70,3,25618
1,36,0,126432
1,27,2,36802
1,70,3,118507
1,22,1,148396
1,53,1,136976
0,72,4,84682
1,56,4,92548
0,33,3,49278
1,72,3,85904
1,44,1,125741
1,61,0,90407
1,39,1,52448
1,29,0,106863
0,52,3,83709
1,59,4,119284
1,55,3,147502
1,18,4,116418
1,60,0,126943
1,35,3,62721
1,54,4,124812
1,37,0,101061
1,50,1,130516
0,56,0,62544
1,65,2,65315
1,65,2,92091
1,65,3,117488
0,76,0,63729
1,28,3,109063
1,80,0,113666
0,21,2,60137
1,50,1,105054
1,19,3,20963
0,54,1,147622
1,51,3,24196
1,31,3,63765
1,22,3,30281
1,56,2,99932
1,74,2,121039
1,28,0,40378
1,63,0,91888
1,27,3,146620
1,24,3,44122
1,58,4,130715
1,42,2,52179
0,31,1,100381
1,57,4,76414
0,66,4,64582
1,80,2,70979
0,18,1,20144
1,61,0,134905
1,80,3,98382
1,30,3,141627
1,43,2,141939
1,65,1,34138
0,60,1,82020
1,73,4,88299
1,46,3,136198
0,21,0,110694
1,69,3,136468
1,60,1,24152
0,65,4,112137
1,76,3,78655
1,55,1,79118
0,35,4,138340
1,28,1,133188
0,54,1,44403
1,64,0,105188
1,44,4,122169
0,18,4,51434
0,42,1,78914
0,28,2,21880
0,55,2,143442
1,28,3,146726
1,40,2,120625
1,19,1,132579
1,73,2,135782
0,65,0,20047
1,30,0,136421
1,49,2,112129
1,39,3,57663
0,64,2,56523
1,46,0,58687
1,52,0,39425
1,59,1,93022
1,80,4,87237
0,56,1,59039
1,61,1,144445
0,46,2,48025
1,67,3,136238
1,79,4,131124
1,78,0,102818
1,42,4,127288
1,28,4,138946
1,38,4,64397
0,26,4,25391
1,50,4,141130
0,61,0,47678
1,68,3,146286
1,44,1,63876
0,30,2,111119
1,35,0,80036
