CustomerID,Age,Gender,EducationLevel,Income,LoanApproved
CUST00001,34,Female,Associate Degree,53745.67,False
CUST00002,56,Female,Master's Degree,82788.19,True
CUST00003,56,Male,High School,72431.29,True
CUST00004,78,Female,High School,130709.2,True
CUST00005,33,Female,PhD,69344.64,True
CUST00006,65,Female,Associate Degree,124815.87,False
CUST00007,72,Female,Associate Degree,79171.24,False
CUST00008,22,Unspecified,Associate Degree,26459.8,False
CUST00009,60,Female,Associate Degree,87043.86,True
CUST00010,32,Unspecified,PhD,147409.2,False
CUST00011,27,Unspecified,Bachelor's Degree,44873.29,False
CUST00012,74,Unspecified,Master's Degree,21517.88,False
CUST00013,40,Unspecified,High School,46388.91,False
CUST00014,76,Unspecified,Master's Degree,124411.23,True
CUST00015,51,Unspecified,PhD,92383.97,True
CUST00016,24,Female,Master's Degree,83673.48,True
CUST00017,26,Unspecified,High School,144767.1,False
CUST00018,60,Male,High School,146211.61,True
CUST00019,20,Female,Associate Degree,140114.0,True
CUST00020,35,Male,PhD,114528.84,True
CUST00021,40,Male,Associate Degree,70968.14,True
CUST00022,48,Male,Bachelor's Degree,38012.62,False
CUST00023,29,Unspecified,Associate Degree,88592.39,False
CUST00024,68,Unspecified,Bachelor's Degree,36882.38,True
CUST00025,58,Female,PhD,64487.21,False
CUST00026,33,Female,High School,96521.59,False
CUST00027,74,Unspecified,Associate Degree,32287.01,False
CUST00028,77,Male,PhD,63878.55,True
CUST00029,51,Female,PhD,147718.17,True
CUST00030,53,Unspecified,High School,117902.39,False
CUST00031,23,Unspecified,Associate Degree,68432.61,True
CUST00032,61,Unspecified,Master's Degree,56541.36,False
CUST00033,74,Female,High School,131213.37,True
CUST00034,61,Female,Bachelor's Degree,26699.19,True
CUST00035,71,Male,Bachelor's Degree,69566.64,True
CUST00036,78,Female,High School,68944.6,False
CUST00037,29,Unspecified,Associate Degree,117983.01,True
CUST00038,75,Female,Master's Degree,35739.52,False
CUST00039,78,Male,Associate Degree,119531.77,True
CUST00040,30,Unspecified,Associate Degree,126374.29,True
CUST00041,18,Female,Bachelor's Degree,111352.74,False
CUST00042,76,Unspecified,PhD,118771.45,False
CUST00043,36,Female,Bachelor's Degree,91145.38,False
CUST00044,80,Male,Bachelor's Degree,85513.64,True
CUST00045,42,Female,Bachelor's Degree,56542.05,False
CUST00046,21,Male,High School,57381.03,False
CUST00047,55,Unspecified,PhD,69423.37,False
CUST00048,44,Male,Associate Degree,82212.22,False
CUST00049,47,Female,Associate Degree,76716.28,True
CUST00050,69,Male,Master's Degree,65904.33,False
CUST00051,46,Unspecified,Bachelor's Degree,93230.42,False
CUST00052,54,Female,Associate Degree,27894.92,False
CUST00053,80,Male,Bachelor's Degree,30887.64,False
CUST00054,67,Male,High School,45196.12,False
CUST00055,63,Female,Master's Degree,81039.5,True
CUST00056,44,Unspecified,High School,62582.34,True
CUST00057,63,Male,Associate Degree,126303.67,False
CUST00058,41,Female,Master's Degree,93505.88,True
