CustomerID,Age,Gender,Product,PurchaseAmount,Country
CUST00001,39,Male,Camera,278.05,UK
CUST00002,27,Unspecified,Mouse,923.75,Canada
CUST00003,62,Female,Tablet,455.07,Canada
CUST00004,66,Male,Monitor,2543.36,South Africa
CUST00005,76,Unspecified,Smartwatch,2798.06,South Africa
CUST00006,74,Female,Speaker,2766.75,India
CUST00007,37,Unspecified,Smartphone,914.11,Germany
CUST00008,50,Unspecified,Camera,910.6,Brazil
CUST00009,49,Unspecified,Headphones,2554.25,India
CUST00010,41,Male,Tablet,1491.65,India
CUST00011,45,Male,Headphones,1203.43,India
CUST00012,29,Female,Smartphone,276.2,Australia
CUST00013,37,Unspecified,Headphones,2291.06,USA
CUST00014,62,Unspecified,Smartwatch,537.72,South Africa
CUST00015,41,Male,Smartwatch,1602.11,Australia
CUST00016,73,Female,Headphones,89.91,Australia
CUST00017,44,Unspecified,Monitor,1127.8,Germany
CUST00018,33,Male,Smartphone,2237.1,Brazil
CUST00019,22,Male,Smartphone,2563.89,UK
CUST00020,50,Unspecified,Smartwatch,2621.07,India
CUST00021,38,Female,Mouse,1711.7,South Africa
CUST00022,35,Male,Tablet,81.95,South Africa
CUST00023,38,Unspecified,Headphones,2149.69,Canada
CUST00024,71,Male,Smartwatch,2502.73,Canada
CUST00025,77,Female,Monitor,2325.24,USA
CUST00026,31,Female,Tablet,2511.62,Germany
CUST00027,19,Unspecified,Smartphone,2445.5,Brazil
CUST00028,54,Female,Keyboard,1893.32,Australia
CUST00029,78,Unspecified,Monitor,2248.5,Japan
CUST00030,56,Unspecified,Smartphone,2156.13,South Africa
CUST00031,21,Female,Mouse,2240.9,Australia
CUST00032,47,Unspecified,Monitor,2622.43,South Africa
CUST00033,33,Male,Keyboard,1628.56,France
CUST00034,51,Male,Headphones,1834.24,India
CUST00035,57,Female,Keyboard,2114.52,Brazil
CUST00036,35,Male,Laptop,1729.47,Brazil
CUST00037,57,Female,Speaker,132.59,Australia
CUST00038,78,Female,Smartwatch,1369.64,South Africa
CUST00039,70,Female,Keyboard,1687.48,India
CUST00040,52,Male,Tablet,2066.02,South Africa
CUST00041,25,Female,Laptop,2089.98,South Africa
CUST00042,61,Male,Smartwatch,2452.97,Japan
CUST00043,35,Unspecified,Keyboard,2432.31,Germany
CUST00044,54,Male,Smartphone,632.62,Germany
CUST00045,52,Male,Laptop,2152.13,USA
CUST00046,79,Female,Keyboard,1343.47,Canada
CUST00047,62,Unspecified,Smartwatch,1054.0,Canada
CUST00048,41,Female,Smartphone,1682.06,Germany
CUST00049,41,Male,Laptop,2056.09,France
CUST00050,39,Female,Speaker,92.25,India
CUST00051,66,Female,Speaker,196.14,USA
CUST00052,36,Female,Smartphone,2576.81,Japan
CUST00053,30,Male,Keyboard,2938.71,Germany
CUST00054,76,Unspecified,Camera,1282.48,Japan
CUST00055,74,Unspecified,Monitor,2969.45,Brazil
